| number of moves | Search | Nodes expanded |
|               0 | ASTAR  |              0 |
|               0 | ASTAR  |              0 |
|               0 | ASTAR  |              0 |
|               2 | ASTAR  |             14 |
|               2 | ASTAR  |             14 |
|               2 | ASTAR  |             14 |
|               2 | ASTAR  |             14 |
|               2 | ASTAR  |             14 |
|               2 | ASTAR  |             14 |
|               2 | ASTAR  |             18 |
|               2 | ASTAR  |             18 |
|               2 | ASTAR  |             18 |
|               2 | ASTAR  |             18 |
|               2 | BFS    |             11 |
|               2 | BFS    |             11 |
|               2 | BFS    |             11 |
|               2 | BFS    |             11 |
|               2 | BFS    |              2 |
|               2 | BFS    |              2 |
|               2 | BFS    |              5 |
|               2 | BFS    |              7 |
|               2 | BFS    |              7 |
|               2 | BFS    |              7 |
|               4 | ASTAR  |             40 |
|               4 | ASTAR  |             40 |
|               4 | ASTAR  |             40 |
|               4 | ASTAR  |             42 |
|               4 | ASTAR  |             43 |
|               4 | ASTAR  |             45 |
|               4 | ASTAR  |             45 |
|               4 | ASTAR  |             45 |
|               4 | ASTAR  |             45 |
|               4 | ASTAR  |             45 |
|               4 | ASTAR  |             48 |
|               4 | ASTAR  |             48 |
|               4 | ASTAR  |             48 |
|               4 | ASTAR  |             48 |
|               4 | ASTAR  |             49 |
|               4 | ASTAR  |             49 |
|               4 | BFS    |             15 |
|               4 | BFS    |             19 |
|               4 | BFS    |             19 |
|               4 | BFS    |             19 |
|               4 | BFS    |             19 |
|               4 | BFS    |             21 |
|               4 | BFS    |             21 |
|               4 | BFS    |             22 |
|               4 | BFS    |             23 |
|               4 | BFS    |             23 |
|               4 | BFS    |             27 |
|               4 | BFS    |             27 |
|               4 | BFS    |             27 |
|               4 | BFS    |             27 |
|               4 | BFS    |             27 |
|               4 | BFS    |             31 |
|               4 | BFS    |             31 |
|               6 | ASTAR  |            100 |
|               6 | ASTAR  |            100 |
|               6 | ASTAR  |            109 |
|               6 | ASTAR  |            110 |
|               6 | ASTAR  |            132 |
|               6 | ASTAR  |            133 |
|               6 | ASTAR  |            133 |
|               6 | ASTAR  |            133 |
|               6 | ASTAR  |            133 |
|               6 | ASTAR  |            137 |
|               6 | ASTAR  |            137 |
|               6 | ASTAR  |            140 |
|               6 | ASTAR  |            167 |
|               6 | ASTAR  |            186 |
|               6 | ASTAR  |            186 |
|               6 | ASTAR  |            194 |
|               6 | ASTAR  |            195 |
|               6 | ASTAR  |            195 |
|               6 | ASTAR  |            198 |
|               6 | ASTAR  |            200 |
|               6 | ASTAR  |             98 |
|               6 | ASTAR  |             98 |
|               6 | ASTAR  |             99 |
|               6 | BFS    |            101 |
|               6 | BFS    |            101 |
|               6 | BFS    |            105 |
|               6 | BFS    |            105 |
|               6 | BFS    |            105 |
|               6 | BFS    |            106 |
|               6 | BFS    |            113 |
|               6 | BFS    |             51 |
|               6 | BFS    |             55 |
|               6 | BFS    |             60 |
|               6 | BFS    |             69 |
|               6 | BFS    |             69 |
|               6 | BFS    |             69 |
|               6 | BFS    |             69 |
|               6 | BFS    |             72 |
|               6 | BFS    |             75 |
|               6 | BFS    |             75 |
|               6 | BFS    |             75 |
|               6 | BFS    |             77 |
|               6 | BFS    |             77 |
|               6 | BFS    |             87 |
|               6 | BFS    |             89 |
|               6 | BFS    |             89 |
|               6 | BFS    |             89 |
|               6 | BFS    |             89 |
|               8 | ASTAR  |            285 |
|               8 | ASTAR  |            294 |
|               8 | ASTAR  |            298 |
|               8 | ASTAR  |            298 |
